fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
0.307692307692308,0.186274509803922,0.216867469879518,0.308282208588957,0.106824925816024,0.149825783972125,0.373549883990719,0.267784846732212,0.254545454545454,0.267441860465116,0.129032258064516,0.5
0.240384615384615,0.215686274509804,0.204819277108434,0.0153374233128834,0.118694362017804,0.0418118466898955,0.28538283062645,0.1328320802005,0.527272727272727,0.313953488372093,0.241935483870968,0.5
0.413461538461538,0.196078431372549,0.240963855421687,0.0966257668711657,0.121661721068249,0.0975609756097561,0.204176334106729,0.154038943512627,0.490909090909091,0.255813953488372,0.338709677419355,0.5
0.326923076923077,0.147058823529412,0.192771084337349,0.121165644171779,0.14540059347181,0.156794425087108,0.410672853828306,0.163678426836322,0.427272727272727,0.209302325581395,0.306451612903226,0.5
0.326923076923077,0.147058823529412,0.192771084337349,0.121165644171779,0.14540059347181,0.156794425087108,0.410672853828306,0.163678426836322,0.427272727272727,0.209302325581395,0.306451612903226,0.5
0.413461538461538,0.196078431372549,0.240963855421687,0.0966257668711657,0.121661721068249,0.0975609756097561,0.204176334106729,0.154038943512627,0.490909090909091,0.255813953488372,0.338709677419355,0.5
0.230769230769231,0.235294117647059,0.0963855421686747,0.098159509202454,0.106824925816024,0.0975609756097561,0.294663573085847,0.15018315018315,0.418181818181818,0.290697674418605,0.258064516129032,0.5
0.307692307692308,0.186274509803922,0.216867469879518,0.308282208588957,0.106824925816024,0.149825783972125,0.373549883990719,0.267784846732212,0.254545454545454,0.267441860465116,0.129032258064516,0.5
0.240384615384615,0.215686274509804,0.204819277108434,0.0153374233128834,0.118694362017804,0.0418118466898955,0.28538283062645,0.1328320802005,0.527272727272727,0.313953488372093,0.241935483870968,0.5
0.413461538461538,0.137254901960784,0.259036144578313,0.0138036809815951,0.103857566765579,0.0905923344947735,0.278422273781903,0.128976286871023,0.454545454545455,0.267441860465116,0.483870967741936,0.5
0.413461538461538,0.186274509803922,0.246987951807229,0.0130368098159509,0.0712166172106825,0.0313588850174216,0.125290023201856,0.0711393869288601,0.245454545454546,0.395348837209302,0.645161290322581,0.333333333333333
0.461538461538462,0.147058823529412,0.240963855421687,0.0552147239263804,0.0771513353115727,0.0522648083623693,0.232018561484919,0.146327356853672,0.381818181818182,0.36046511627907,0.274193548387097,0.333333333333333
0.394230769230769,0.0980392156862745,0.22289156626506,0.00920245398773006,0.0919881305637982,0.0487804878048781,0.153132250580046,0.0942741469057249,0.418181818181818,0.476744186046512,0.451612903225807,0.333333333333333
0.269230769230769,0.0784313725490196,0.240963855421687,0.0138036809815951,0.103857566765579,0.160278745644599,0.310904872389791,0.0788509735878143,0.745454545454546,0.348837209302326,0.709677419354839,0.666666666666667
0.432692307692308,0.333333333333333,0.373493975903614,0.286042944785276,0.0919881305637982,0.13588850174216,0.378190255220418,0.252361673414304,0.236363636363636,0.523255813953488,0.274193548387097,0.333333333333333
